title,description,error_code,bug_category,bug_domain,tech_stack,severity,environment,developer_role,root_cause,suggested_fix,explanation,created_at
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,404.0,monitoring bug,web development,mysql,critical,development,backend developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a backend developer due to its nature.,2026-01-19
database bug detected in system,this issue relates to a database bug occurring in the application.,401.0,database bug,cloud,gcp,medium,staging,qa engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a qa engineer due to its nature.,2025-04-08
performance bug detected in system,this issue relates to a performance bug occurring in the application.,502.0,performance bug,mobile,gcp,low,production,full-stack developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-09-21
performance bug detected in system,this issue relates to a performance bug occurring in the application.,400.0,performance bug,web development,mongodb,low,staging,qa engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a qa engineer due to its nature.,2025-02-09
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,502.0,monitoring bug,web development,angular,high,development,mobile developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a mobile developer due to its nature.,2025-09-05
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,500.0,ci/cd bug,devops,azure,critical,development,qa engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a qa engineer due to its nature.,2025-10-16
memory leak detected in system,this issue relates to a memory leak occurring in the application.,503.0,memory leak,devops,vue,high,development,security engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a security engineer due to its nature.,2025-12-07
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,502.0,frontend routing bug,data,django,medium,production,full-stack developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-03-19
database bug detected in system,this issue relates to a database bug occurring in the application.,401.0,database bug,data,mongodb,critical,production,qa engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a qa engineer due to its nature.,2025-04-08
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,503.0,frontend routing bug,cloud,mysql,critical,staging,full-stack developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-03-25
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,502.0,authorization bug,backend systems,docker,low,staging,devops engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a devops engineer due to its nature.,2025-07-04
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,401.0,authentication bug,backend systems,gcp,critical,production,mobile developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a mobile developer due to its nature.,2025-11-11
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,500.0,backend logic bug,devops,react,critical,staging,devops engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a devops engineer due to its nature.,2026-01-18
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,500.0,concurrency bug,backend systems,gcp,medium,staging,devops engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a devops engineer due to its nature.,2026-01-11
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,404.0,security vulnerability,backend systems,gcp,high,development,data engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a data engineer due to its nature.,2025-03-01
ui bug detected in system,this issue relates to a ui bug occurring in the application.,500.0,ui bug,backend systems,postgresql,medium,staging,frontend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a frontend developer due to its nature.,2025-11-04
ui bug detected in system,this issue relates to a ui bug occurring in the application.,400.0,ui bug,web development,mysql,high,staging,data engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a data engineer due to its nature.,2025-10-02
memory leak detected in system,this issue relates to a memory leak occurring in the application.,404.0,memory leak,devops,postgresql,medium,staging,security engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a security engineer due to its nature.,2025-05-01
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,502.0,concurrency bug,backend systems,react,medium,production,mobile developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a mobile developer due to its nature.,2025-11-22
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,500.0,ci/cd bug,mobile,mongodb,high,staging,frontend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a frontend developer due to its nature.,2025-02-26
performance bug detected in system,this issue relates to a performance bug occurring in the application.,502.0,performance bug,cloud,mongodb,low,staging,mobile developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a mobile developer due to its nature.,2025-09-24
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,503.0,security vulnerability,data,django,critical,staging,devops engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a devops engineer due to its nature.,2025-11-15
memory leak detected in system,this issue relates to a memory leak occurring in the application.,503.0,memory leak,cloud,mysql,high,production,full-stack developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a full-stack developer due to its nature.,2025-09-21
ui bug detected in system,this issue relates to a ui bug occurring in the application.,401.0,ui bug,data,azure,medium,production,security engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a security engineer due to its nature.,2025-06-19
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,500.0,frontend routing bug,mobile,laravel,low,development,devops engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a devops engineer due to its nature.,2025-02-28
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,503.0,cloud configuration bug,cloud,aws,critical,staging,mobile developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a mobile developer due to its nature.,2025-03-21
database bug detected in system,this issue relates to a database bug occurring in the application.,401.0,database bug,data,flask,high,development,backend developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a backend developer due to its nature.,2025-02-25
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,502.0,ci/cd bug,mobile,laravel,low,development,devops engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a devops engineer due to its nature.,2025-02-08
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,502.0,frontend routing bug,backend systems,angular,medium,production,cloud engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-05-30
performance bug detected in system,this issue relates to a performance bug occurring in the application.,401.0,performance bug,web development,laravel,low,production,backend developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a backend developer due to its nature.,2025-04-06
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,502.0,authorization bug,data,django,low,production,frontend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a frontend developer due to its nature.,2025-06-17
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,502.0,ci/cd bug,mobile,angular,high,production,devops engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a devops engineer due to its nature.,2025-02-08
performance bug detected in system,this issue relates to a performance bug occurring in the application.,502.0,performance bug,devops,vue,low,staging,cloud engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-11-23
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,401.0,backend logic bug,web development,react,high,development,frontend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a frontend developer due to its nature.,2025-12-10
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,403.0,concurrency bug,web development,gcp,medium,development,qa engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a qa engineer due to its nature.,2025-10-16
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,401.0,concurrency bug,cloud,postgresql,medium,staging,devops engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a devops engineer due to its nature.,2025-08-13
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,400.0,security vulnerability,web development,vue,high,production,security engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a security engineer due to its nature.,2025-06-26
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,404.0,deployment bug,web development,postgresql,low,production,qa engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a qa engineer due to its nature.,2025-08-11
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,503.0,authorization bug,data,aws,low,development,mobile developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a mobile developer due to its nature.,2025-11-25
api bug detected in system,this issue relates to a api bug occurring in the application.,502.0,api bug,devops,vue,high,staging,frontend developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a frontend developer due to its nature.,2025-04-13
logging bug detected in system,this issue relates to a logging bug occurring in the application.,502.0,logging bug,mobile,mongodb,medium,production,data engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a data engineer due to its nature.,2026-01-09
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,401.0,cloud configuration bug,web development,kubernetes,critical,staging,mobile developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a mobile developer due to its nature.,2025-02-18
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,400.0,security vulnerability,data,react,high,staging,frontend developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a frontend developer due to its nature.,2025-09-24
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,401.0,authentication bug,cloud,docker,critical,development,full-stack developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-05-16
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,502.0,cloud configuration bug,mobile,mongodb,medium,staging,backend developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a backend developer due to its nature.,2025-06-23
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,400.0,deployment bug,cloud,mongodb,high,production,devops engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a devops engineer due to its nature.,2025-10-12
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,401.0,cloud configuration bug,cloud,gcp,low,development,devops engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a devops engineer due to its nature.,2025-02-06
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,502.0,cloud configuration bug,cloud,postgresql,high,development,frontend developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a frontend developer due to its nature.,2025-11-11
ui bug detected in system,this issue relates to a ui bug occurring in the application.,400.0,ui bug,web development,gcp,medium,staging,data engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a data engineer due to its nature.,2025-07-09
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,503.0,authorization bug,cloud,node.js,critical,production,cloud engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-05-05
logging bug detected in system,this issue relates to a logging bug occurring in the application.,502.0,logging bug,data,laravel,high,development,frontend developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a frontend developer due to its nature.,2025-09-17
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,404.0,deployment bug,web development,spring boot,critical,development,security engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a security engineer due to its nature.,2025-11-12
database bug detected in system,this issue relates to a database bug occurring in the application.,404.0,database bug,data,node.js,low,development,cloud engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-03-03
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,503.0,security vulnerability,cloud,docker,medium,development,mobile developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a mobile developer due to its nature.,2025-05-10
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,403.0,concurrency bug,backend systems,spring boot,critical,development,mobile developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a mobile developer due to its nature.,2025-02-15
ui bug detected in system,this issue relates to a ui bug occurring in the application.,502.0,ui bug,mobile,postgresql,low,production,frontend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a frontend developer due to its nature.,2025-05-13
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,500.0,backend logic bug,cloud,angular,critical,staging,backend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a backend developer due to its nature.,2025-06-19
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,403.0,authorization bug,backend systems,gcp,low,development,full-stack developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-03-04
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,403.0,monitoring bug,cloud,react,high,production,devops engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a devops engineer due to its nature.,2025-10-06
ui bug detected in system,this issue relates to a ui bug occurring in the application.,403.0,ui bug,devops,azure,medium,staging,full-stack developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-04-17
performance bug detected in system,this issue relates to a performance bug occurring in the application.,502.0,performance bug,devops,django,low,staging,devops engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a devops engineer due to its nature.,2025-08-22
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,400.0,cloud configuration bug,devops,docker,high,production,full-stack developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-12-03
database bug detected in system,this issue relates to a database bug occurring in the application.,503.0,database bug,cloud,kubernetes,critical,development,mobile developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a mobile developer due to its nature.,2025-04-22
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,400.0,cloud configuration bug,mobile,gcp,high,staging,backend developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a backend developer due to its nature.,2025-12-13
logging bug detected in system,this issue relates to a logging bug occurring in the application.,503.0,logging bug,devops,kubernetes,low,staging,backend developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a backend developer due to its nature.,2025-06-12
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,503.0,backend logic bug,cloud,kubernetes,low,staging,qa engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a qa engineer due to its nature.,2025-08-24
logging bug detected in system,this issue relates to a logging bug occurring in the application.,403.0,logging bug,web development,azure,medium,staging,mobile developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a mobile developer due to its nature.,2025-07-30
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,404.0,authorization bug,mobile,flask,low,staging,frontend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a frontend developer due to its nature.,2025-09-11
performance bug detected in system,this issue relates to a performance bug occurring in the application.,502.0,performance bug,cloud,vue,critical,staging,frontend developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a frontend developer due to its nature.,2025-02-12
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,502.0,security vulnerability,backend systems,flask,low,production,data engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a data engineer due to its nature.,2025-05-18
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,502.0,cloud configuration bug,cloud,angular,medium,staging,backend developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a backend developer due to its nature.,2025-06-24
api bug detected in system,this issue relates to a api bug occurring in the application.,503.0,api bug,web development,docker,low,development,devops engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a devops engineer due to its nature.,2025-05-12
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,404.0,authentication bug,backend systems,django,high,development,qa engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a qa engineer due to its nature.,2025-09-10
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,404.0,deployment bug,data,django,low,development,frontend developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a frontend developer due to its nature.,2025-08-16
logging bug detected in system,this issue relates to a logging bug occurring in the application.,404.0,logging bug,mobile,kubernetes,high,development,cloud engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-07-24
api bug detected in system,this issue relates to a api bug occurring in the application.,403.0,api bug,devops,django,medium,production,mobile developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a mobile developer due to its nature.,2025-06-14
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,401.0,backend logic bug,web development,node.js,low,staging,mobile developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a mobile developer due to its nature.,2025-02-26
memory leak detected in system,this issue relates to a memory leak occurring in the application.,401.0,memory leak,backend systems,gcp,medium,production,mobile developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a mobile developer due to its nature.,2026-01-13
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,403.0,security vulnerability,devops,spring boot,medium,production,devops engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a devops engineer due to its nature.,2025-09-09
ui bug detected in system,this issue relates to a ui bug occurring in the application.,500.0,ui bug,web development,laravel,low,staging,cloud engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-12-10
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,500.0,frontend routing bug,web development,postgresql,critical,production,qa engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a qa engineer due to its nature.,2025-09-28
database bug detected in system,this issue relates to a database bug occurring in the application.,403.0,database bug,data,postgresql,high,development,security engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a security engineer due to its nature.,2025-05-04
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,404.0,security vulnerability,backend systems,node.js,medium,development,data engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a data engineer due to its nature.,2026-01-15
api bug detected in system,this issue relates to a api bug occurring in the application.,400.0,api bug,backend systems,spring boot,high,staging,backend developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a backend developer due to its nature.,2025-03-11
performance bug detected in system,this issue relates to a performance bug occurring in the application.,400.0,performance bug,mobile,django,low,staging,backend developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a backend developer due to its nature.,2025-04-04
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,503.0,authentication bug,data,gcp,low,production,devops engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a devops engineer due to its nature.,2026-01-19
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,502.0,backend logic bug,devops,laravel,critical,development,cloud engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-11-18
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,401.0,authentication bug,cloud,gcp,critical,staging,data engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a data engineer due to its nature.,2025-09-08
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,503.0,backend logic bug,data,kubernetes,critical,staging,mobile developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a mobile developer due to its nature.,2025-09-14
api bug detected in system,this issue relates to a api bug occurring in the application.,500.0,api bug,cloud,postgresql,medium,staging,backend developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a backend developer due to its nature.,2025-07-05
database bug detected in system,this issue relates to a database bug occurring in the application.,400.0,database bug,web development,vue,medium,development,frontend developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a frontend developer due to its nature.,2025-11-13
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,403.0,ci/cd bug,data,laravel,low,production,cloud engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a cloud engineer due to its nature.,2026-01-16
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,503.0,backend logic bug,backend systems,laravel,low,development,qa engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a qa engineer due to its nature.,2025-03-09
ui bug detected in system,this issue relates to a ui bug occurring in the application.,503.0,ui bug,mobile,mongodb,low,development,qa engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a qa engineer due to its nature.,2026-01-07
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,400.0,authentication bug,data,kubernetes,low,development,devops engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a devops engineer due to its nature.,2026-01-23
memory leak detected in system,this issue relates to a memory leak occurring in the application.,503.0,memory leak,web development,laravel,medium,production,cloud engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a cloud engineer due to its nature.,2026-01-02
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,401.0,backend logic bug,cloud,mysql,high,development,data engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a data engineer due to its nature.,2025-05-21
database bug detected in system,this issue relates to a database bug occurring in the application.,401.0,database bug,devops,react,low,development,devops engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a devops engineer due to its nature.,2026-01-05
api bug detected in system,this issue relates to a api bug occurring in the application.,500.0,api bug,data,flask,medium,production,devops engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a devops engineer due to its nature.,2025-04-11
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,502.0,authentication bug,cloud,laravel,high,staging,devops engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a devops engineer due to its nature.,2025-09-19
database bug detected in system,this issue relates to a database bug occurring in the application.,503.0,database bug,cloud,azure,high,development,backend developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a backend developer due to its nature.,2025-09-19
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,503.0,authorization bug,backend systems,angular,low,staging,devops engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a devops engineer due to its nature.,2025-12-17
ui bug detected in system,this issue relates to a ui bug occurring in the application.,500.0,ui bug,data,react,low,staging,full-stack developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-11-22
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,401.0,concurrency bug,web development,azure,critical,production,security engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a security engineer due to its nature.,2025-03-28
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,500.0,backend logic bug,web development,mysql,medium,production,backend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a backend developer due to its nature.,2025-05-13
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,500.0,backend logic bug,data,postgresql,high,production,frontend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a frontend developer due to its nature.,2025-09-19
logging bug detected in system,this issue relates to a logging bug occurring in the application.,400.0,logging bug,data,kubernetes,high,development,full-stack developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-10-03
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,403.0,concurrency bug,mobile,docker,critical,development,mobile developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a mobile developer due to its nature.,2025-12-22
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,502.0,authorization bug,data,spring boot,medium,production,frontend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a frontend developer due to its nature.,2025-04-20
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,503.0,cloud configuration bug,web development,flask,medium,development,qa engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a qa engineer due to its nature.,2025-11-12
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,401.0,authentication bug,mobile,flask,medium,staging,mobile developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a mobile developer due to its nature.,2025-07-04
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,502.0,monitoring bug,cloud,laravel,medium,production,mobile developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a mobile developer due to its nature.,2025-04-29
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,500.0,deployment bug,web development,angular,medium,staging,frontend developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a frontend developer due to its nature.,2025-12-11
memory leak detected in system,this issue relates to a memory leak occurring in the application.,502.0,memory leak,backend systems,docker,critical,production,cloud engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a cloud engineer due to its nature.,2025-07-08
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,403.0,security vulnerability,web development,node.js,medium,production,mobile developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a mobile developer due to its nature.,2025-05-25
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,401.0,ci/cd bug,mobile,node.js,low,production,security engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a security engineer due to its nature.,2025-12-10
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,404.0,cloud configuration bug,mobile,vue,critical,development,mobile developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a mobile developer due to its nature.,2025-08-16
